sat1_satellite_id,sat1_epoch,sat1_mean_motion,sat1_eccentricity,sat1_inclination,sat1_raan,sat1_argument_of_perigee,sat1_mean_anomaly,sat1_perigee,sat1_apogee,sat1_period,sat1_semi_major_axis,sat1_orbital_energy,sat1_orbital_angular_momentum,sat1_rev_number,sat1_bstar,sat1_mean_motion_derivative,sat1_cluster,sat2_satellite_id,sat2_epoch,sat2_mean_motion,sat2_eccentricity,sat2_inclination,sat2_raan,sat2_argument_of_perigee,sat2_mean_anomaly,sat2_perigee,sat2_apogee,sat2_period,sat2_semi_major_axis,sat2_orbital_energy,sat2_orbital_angular_momentum,sat2_rev_number,sat2_bstar,sat2_mean_motion_derivative,sat2_cluster,mean_motion,eccentricity,inclination,raan,argument_of_perigee,mean_anomaly,perigee,apogee,period,semi_major_axis,orbital_energy,orbital_angular_momentum,bstar,mean_motion_derivative,close_approach
YAOGAN-31 03A,25034.58632699,13.4538326,0.0132748,1.1066364842025167,0.6796992785674197,6.258590127360482,0.025701718564868494,997.301383245167,1195.5586633922703,1.7838782979951724,7467.430023318719,-26689265.286402486,54552693636.09441,19369,0.00017495,1.9e-07,0,MARAFON-D GVM,25034.58187564,14.45617062,0.001502,1.5533447796042053,5.995750523327144,3.7980965063982084,2.4853593268154373,736.4453721247,757.8282551128104,1.6601906985516728,7118.136813618756,-27998930.91668165,53266181370.15361,4914,0.00022192999999999998,8e-06,0,-1.0023380199999998,0.0117728,-0.44670829540168855,-5.316051244759724,2.4604936209622736,-2.4596576082505686,260.856011120467,437.7304082794599,0.12368759944349961,349.293209699963,1309665.6302791648,1286512265.9408035,-4.697999999999999e-05,-7.81e-06,False
STARLINK-3935,25034.51429234,15.08839512,0.0001661,0.9288345573140983,2.11333716076509,2.0199201578813453,4.2652967125475625,545.73282040491,548.0309407656405,1.5906264257480531,6917.881880585275,-28809428.137148034,52511624406.840294,15118,-5.6105000000000006e-05,-1.181e-05,0,STARLINK-4375,25034.59260476,15.01251945,4.03e-05,1.7044798208514023,1.7123215851806128,0.44619516860160235,5.8391613281674655,569.8919467440801,570.451405181163,1.5986657056420974,6941.1716759626215,-28712763.522357408,52599943841.74654,14010,0.0001076,1.323e-05,0,0.07587567000000028,0.0001258,-0.775645263537304,0.4010155755844773,1.573724989279743,-1.573864615619903,-24.159126339170143,-22.420464415522474,-0.008039279894044293,-23.28979537734631,-96664.61479062587,-88319434.90624237,-0.000163705,-2.504e-05,False
STARLINK-2021,25034.18552842,15.0644308,0.0002933,0.9260053785966155,0.08832587745567703,2.374365113034858,3.9109547318199174,552.1853610820444,556.247693096836,1.5931567756280554,6925.21652708944,-28778915.449126434,52539453078.57602,22072,0.0018595999999999999,0.00027559,0,STARLINK-4030,25034.43148965,15.08841514,0.000196,0.9288205946800824,2.4686163833010557,2.0971981011718985,4.188058911829805,545.5198576264456,548.231664924866,1.5906243152320876,6917.875761275655,-28809453.620955035,52511600897.621506,15080,-2.1147e-05,-6.25e-06,0,-0.02398434000000016,9.729999999999998e-05,-0.0028152160834669093,-2.3802905058453785,0.27716701186295944,-0.2771041800098879,6.6655034555988095,8.016028171969992,0.0025324603959677727,7.340765813784856,30538.17182860151,27852180.95451355,0.0018807469999999999,0.00028184,False
STARLINK-2021,25034.18552842,15.0644308,0.0002933,0.9260053785966155,0.08832587745567703,2.374365113034858,3.9109547318199174,552.1853610820444,556.247693096836,1.5931567756280554,6925.21652708944,-28778915.449126434,52539453078.57602,22072,0.0018595999999999999,0.00027559,0,STARLINK-5121,25034.51058617,15.08842004,0.0001257,0.9287787067780344,3.5056159756782503,1.5720878704413723,4.713080130768479,546.0046867496658,547.7438403395199,1.5906237986730891,6917.874263544593,-28809459.858248737,52511595806.987076,12926,9.016800000000001e-05,1.148e-05,0,-0.023989240000000578,0.00016759999999999998,-0.0027733281814189548,-3.417290098222573,0.8022772425934857,-0.8021253989485619,6.180674332378658,8.503852757316054,0.0025329769549662373,7.342263544846901,30544.40912230313,27857271.58894348,0.0017694319999999998,0.00026410999999999996,False
STARLINK-3617,25034.21529736,15.08835489,0.0001199,0.9288555012651222,5.801809536845534,1.8202091128926423,4.464939689695438,546.0647218089407,547.7236328326617,1.5906306668267907,6917.894177320801,-28809376.927645642,52511671424.21026,16380,-6.5095e-05,-1.324e-05,0,STARLINK-5431,25034.39143812,15.08844923,0.0001326,0.9288415386311062,0.633130403465707,1.4744035375365017,4.8107766809781145,545.9480324192255,547.7826503077549,1.5906207214642936,6917.86534136349,-28809497.014684375,52511561897.32471,11964,-1.5734000000000002e-05,-5.38e-06,0,-9.434000000041465e-05,-1.2699999999999997e-05,1.3962634015984854e-05,5.168679133379827,0.34580557535614065,-0.34583699128267664,0.11668938971524767,-0.059017475093241956,9.945362497099097e-06,0.02883595731054811,120.08703873306513,109526.88555145264,-4.9361e-05,-7.86e-06,False
STARLINK-5745,25034.00428717,15.02529402,5.49e-05,0.7505421929058694,0.2904350048366204,4.448076318462668,1.8364738361919775,565.8559878275564,566.6176964328224,1.597306513140697,6937.236842130189,-28729049.538807686,52585032678.605736,10879,-3.5052e-05,-6.77e-06,0,RROCI-2,25034.32769153,14.95922483,0.0007442,1.7066091225388353,2.8187625925069058,3.8457247963558814,2.4386281360932887,581.4700402663138,591.8258034331948,1.6043612067297184,6957.647921849754,-28644769.487993035,52662320491.78429,5007,0.00054077,6e-05,0,0.06606919000000033,-0.0006893,-0.9560669296329659,-2.5283275876702853,0.6023515221067868,-0.6021542999013112,-15.614052438757426,-25.208107000372365,-0.0070546935890214435,-20.41107971956535,-84280.05081465095,-77287813.17855072,-0.000575822,-6.677e-05,False
YAOGAN-31 03A,25034.58632699,13.4538326,0.0132748,1.1066364842025167,0.6796992785674197,6.258590127360482,0.025701718564868494,997.301383245167,1195.5586633922703,1.7838782979951724,7467.430023318719,-26689265.286402486,54552693636.09441,19369,0.00017495,1.9e-07,0,STARLINK-3807,25034.59620419,15.08814066,0.0001178,0.9288432839603583,3.3287355826348852,1.3943505207352778,4.890798281852803,546.1447243145303,547.7745956104172,1.5906532515054088,6917.959659962474,-28809104.229596086,52511919966.329636,15553,-0.00015126999999999998,-2.693e-05,0,-1.6343080600000004,0.013157,0.1777932002421584,-2.6490363040674656,4.864239606625205,-4.865096563287934,451.1566589306367,647.7840677818531,0.19322504648976357,549.4703633562449,2119838.9431935996,2040773669.7647781,0.00032622,2.712e-05,False
STARLINK-4030,25034.43148965,15.08841514,0.000196,0.9288205946800824,2.4686163833010557,2.0971981011718985,4.188058911829805,545.5198576264456,548.231664924866,1.5906243152320876,6917.875761275655,-28809453.620955035,52511600897.621506,15080,-2.1147e-05,-6.25e-06,0,STARLINK-5431,25034.39143812,15.08844923,0.0001326,0.9288415386311062,0.633130403465707,1.4744035375365017,4.8107766809781145,545.9480324192255,547.7826503077549,1.5906207214642936,6917.86534136349,-28809497.014684375,52511561897.32471,11964,-1.5734000000000002e-05,-5.38e-06,0,-3.4089999999764586e-05,6.34e-05,-2.0943951023810747e-05,1.8354859798353487,0.6227945636353969,-0.6227177691483092,-0.42817479277982784,0.44901461711106094,3.593767794018987e-06,0.010419912165161804,43.39372934028506,39000.296798706055,-5.412999999999997e-06,-8.700000000000001e-07,False
STARLINK-32125,25034.42303014,15.30139756,0.0001499,0.9278362289819575,1.861562944189396,1.6258684460123256,4.659362387050598,481.5046086062039,483.55929748572726,1.5684841796895292,6853.531953045966,-29079928.75285619,52266823157.62549,3059,0.00030141,8.562e-05,0,STARLINK-32195,25034.04318658,15.30183498,0.0001377,0.9278152850309336,4.769906305884163,1.6380892414347898,4.647117157018606,481.45762849484436,483.34505522439304,1.5684393428218737,6853.401341859619,-29080482.95416497,52266325209.451035,2812,-6.1012000000000005e-05,-2.165e-05,0,-0.00043742000000079884,1.2199999999999998e-05,2.094395102392177e-05,-2.908343361694767,-0.012220795422464237,0.012245230031991738,0.04698011135951674,0.21424226133422053,4.483686765555106e-05,0.13061118634686864,554.2013087794185,497948.17445373535,0.000362422,0.00010727,False
STARLINK-4033,25034.55293687,15.08841533,0.0001353,0.9287839427657905,2.4598757744070676,1.9800184405222512,4.305146070029097,545.9397146177116,547.8116917829966,1.590624295202243,6917.875703200354,-28809453.862809293,52511601205.20687,15083,-2.991e-05,-7.64e-06,0,STARLINK-32125,25034.42303014,15.30139756,0.0001499,0.9278362289819575,1.861562944189396,1.6258684460123256,4.659362387050598,481.5046086062039,483.55929748572726,1.5684841796895292,6853.531953045966,-29079928.75285619,52266823157.62549,3059,0.00030141,8.562e-05,0,-0.21298222999999972,-1.4600000000000003e-05,0.0009477137838329597,0.5983128302176717,0.35414999450992557,-0.3542163170215007,64.43510601150774,64.25239429726935,0.022140115512713665,64.34375015438854,270474.8900468983,244778047.58138275,-0.00033132,-9.326e-05,False
