sat1_epoch day,sat1_ballistic coefficient,sat1_inclination,sat1_right ascension of the ascending node,sat1_eccentricity,sat1_argument of perigee,sat1_mean anomaly,sat1_mean motion,sat1_apogee,sat1_perigee,sat2_epoch day,sat2_ballistic coefficient,sat2_inclination,sat2_right ascension of the ascending node,sat2_eccentricity,sat2_argument of perigee,sat2_mean anomaly,sat2_mean motion,sat2_apogee,sat2_perigee,inclination difference,eccentricity difference,ascending node difference,argument of perigee difference,mean anomaly difference,mean motion difference,apogee difference,perigee difference,close_approach
351.91667824,0.00157934,53.0493,25.2,0.0002929,46.609,147.6726,15.73699669,-6279.574249658963,-6279.6277911812,355.83191012,0.00044775,14.9762,193.0261,0.000509,49.9711,310.106,15.47714982,-6278.533818210945,-6278.62790089592,38.073100000000004,-0.0002161,-167.82610000000003,-3.362099999999998,-162.4334,0.2598468700000005,-1.0404314480174435,-0.999890285280344,False
350.78433615,-2.68e-06,0.0516,140.8749,0.0001024,135.496,231.6634,1.00269898,-5798.001695637007,-5798.119033674326,351.78088056,1.903e-05,43.0028,136.645,0.0001322,269.2196,90.8494,15.02527498,-6276.724602233554,-6276.749525353886,-42.9512,-2.9799999999999993e-05,4.2298999999999864,-133.7236,140.814,-14.022576,478.72290659654664,478.6304916795607,False
351.9388086,1.979e-05,43.004,316.0443,0.0001299,269.092,90.9773,15.02531725,-6276.724995851601,-6276.749485316498,356.51243613,-1.3e-07,87.9248,22.4069,0.0002009,97.0684,263.0678,13.20771476,-6268.2556293354255,-6268.296903731532,-44.92080000000001,-7.099999999999999e-05,293.6374,172.0236,-172.09049999999996,1.8176024900000005,-8.469366516175796,-8.452581584965628,False
351.5215254,8.43e-06,53.2191,281.0251,0.0002474,82.4913,277.636,15.08840772,-6276.976934536629,-6277.023445642573,356.27423888,2.149e-05,43.0037,86.5949,0.0001195,263.6357,96.4349,15.02541457,-6276.7263832616045,-6276.748911963825,10.215399999999995,0.0001279,194.4302,-181.1444,181.20110000000003,0.06299314999999872,-0.25055127502491814,-0.27453367874841206,False
356.3872506,3.8e-06,98.8601,71.6819,0.0013362,250.8244,109.1482,14.13458444,-6272.686353805648,-6272.94873659785,356.16903376,7.59e-06,53.162,297.0727,0.0001384,109.7385,250.3765,15.30181069,-6277.863309482392,-6277.889086150835,45.698100000000004,0.0011978000000000002,-225.3908,141.08589999999998,-141.2283,-1.1672262500000006,5.176955676744001,4.940349552985026,False
355.80178189,-3.21e-06,87.8909,129.3562,0.0001539,104.0406,256.0893,13.11419298,-6267.772588934632,-6267.804357442584,355.9870921,1.058e-05,43.0019,204.4526,0.0001161,261.8117,98.2594,15.02555247,-6276.727280562452,-6276.749168146756,44.889,3.78e-05,-75.09639999999999,-157.7711,157.82989999999998,-1.9113594899999988,8.954691627819557,8.944810704172596,False
351.68977149,-1.693e-05,70.0018,334.0388,0.0002728,272.9949,87.0898,14.98338255,-6276.5356812611635,-6276.5872069372635,356.41800454,0.00028525,97.303,43.9827,0.0001932,339.9936,20.1231,15.35799177,-6278.085493050767,-6278.121388281293,-27.301199999999994,7.960000000000001e-05,290.05609999999996,-66.99870000000004,66.9667,-0.37460921999999997,1.5498117896031545,1.5341813440290935,False
352.13583985,2.012e-05,53.1574,297.4602,0.0001188,90.5802,269.5352,15.69703947,-6279.435103887999,-6279.456857123031,356.50680066,9.7e-07,87.907,7.2513,0.0001627,93.9914,266.1402,13.15549967,-6267.987876932349,-6268.021391624355,-34.749599999999994,-4.3899999999999996e-05,290.20889999999997,-3.411199999999994,3.394999999999982,2.5415398000000007,-11.447226955649967,-11.435465498676422,False
352.15913029,0.00021907,53.0538,265.6689,0.0001403,82.3649,277.7499,15.06368441,-6276.8841639872735,-6276.91056918621,356.3092103,0.0002307,34.9959,300.6535,0.0020824,274.9826,84.8511,15.20575865,-6277.289708546527,-6277.679182128586,18.057900000000004,-0.0019421,-34.9846,-192.61769999999999,192.89880000000002,-0.14207423999999946,0.40554455925393995,0.7686129423764214,False
351.78088056,1.903e-05,43.0028,136.645,0.0001322,269.2196,90.8494,15.02527498,-6276.724602233554,-6276.749525353886,351.94467761,3.8e-05,43.0064,303.5866,0.0001345,259.7251,100.344,15.02519443,-6276.724048488337,-6276.749405308801,-0.0035999999999987153,-2.3000000000000017e-06,-166.94159999999997,9.494500000000016,-9.494599999999991,8.054999999984602e-05,-0.0005537452170756296,-0.00012004508516838541,False
